timestamp,date,action,side,solAmount,usdcAmount,price,zone,pnl,avgEntry
1743710400000,2025-04-03,rebalance_sell,sell,0.051100,5.9724,117.11,neutral,-0.5033,126.7244
1743940800000,2025-04-06,rebalance_buy,buy,0.052225,6.0158,114.96,moderate_buy,,
1743984000000,2025-04-07,emergency_sell,sell,0.260471,26.8269,103.20,stop_loss,-5.5668,124.3656
1744113600000,2025-04-08,rebalance_buy,buy,0.260917,28.0159,107.16,moderate_buy,,
1744214400000,2025-04-09,rebalance_sell,sell,0.058220,6.9056,118.85,neutral,0.6668,107.1600
1744430400000,2025-04-12,rebalance_sell,sell,0.052007,6.4464,124.20,moderate_sell,0.8733,107.1600
1744776000000,2025-04-16,emergency_sell,sell,0.150689,18.7654,124.78,trailing_stop,2.6175,107.1600
1747425600000,2025-05-16,rebalance_buy,buy,0.182098,30.5588,167.48,moderate_buy,,
1747440000000,2025-05-17,rebalance_sell,sell,0.035405,5.9468,168.30,neutral,0.0171,167.4800
1747584000000,2025-05-18,rebalance_buy,buy,0.035946,6.0053,166.73,moderate_buy,,
1747598400000,2025-05-18,rebalance_sell,sell,0.037475,6.4844,173.38,neutral,0.2136,167.3324
1747872000000,2025-05-22,rebalance_sell,sell,0.035956,6.3468,176.87,moderate_sell,0.3302,167.3324
1748030400000,2025-05-23,rebalance_buy,buy,0.035832,6.2484,174.03,neutral,,
1748390400000,2025-05-28,rebalance_buy,buy,0.045724,8.0273,175.21,neutral,,
1748448000000,2025-05-28,rebalance_sell,sell,0.044542,7.5312,169.42,neutral,-0.0622,170.4786
1748462400000,2025-05-28,rebalance_buy,buy,0.045041,7.7752,172.28,neutral,,
1748563200000,2025-05-30,rebalance_sell,sell,0.044222,7.2895,165.17,neutral,-0.2681,170.9028
1748606400000,2025-05-30,rebalance_sell,sell,0.057768,9.2959,161.24,neutral,-0.5768,170.9028
1748952000000,2025-06-03,rebalance_buy,buy,0.058641,9.5382,162.33,neutral,,
1748995200000,2025-06-04,rebalance_sell,sell,0.057526,8.9945,156.67,neutral,-0.6413,167.5041
1749528000000,2025-06-10,rebalance_buy,buy,0.058820,9.3458,158.57,neutral,,
1749542400000,2025-06-10,rebalance_sell,sell,0.036580,5.8732,160.88,moderate_sell,-0.1252,163.9821
1749686400000,2025-06-12,rebalance_buy,buy,0.036038,5.7730,159.87,neutral,,
1749772800000,2025-06-13,rebalance_sell,sell,0.054831,7.9286,144.89,neutral,-1.0081,162.9853
1750060800000,2025-06-16,rebalance_buy,buy,0.054269,8.5107,156.51,neutral,,
1750075200000,2025-06-16,rebalance_sell,sell,0.035554,5.5584,156.65,moderate_sell,-0.1520,160.6126
1750536000000,2025-06-21,emergency_sell,sell,0.112550,15.2166,135.47,stop_loss,-2.8603,160.6126
1751630400000,2025-07-04,rebalance_buy,buy,0.185517,27.2625,146.66,moderate_buy,,
1751659200000,2025-07-04,rebalance_sell,sell,0.036213,5.3398,147.75,neutral,0.0288,146.6600
1751875200000,2025-07-07,rebalance_sell,sell,0.037749,5.7580,152.84,moderate_sell,0.2218,146.6600
1751889600000,2025-07-07,rebalance_buy,buy,0.036159,5.4750,151.11,neutral,,
1752033600000,2025-07-09,rebalance_buy,buy,0.045994,7.0531,153.04,neutral,,
1752048000000,2025-07-09,rebalance_sell,sell,0.035447,5.4394,153.76,moderate_sell,0.1576,149.0055
1752177600000,2025-07-10,rebalance_sell,sell,0.041686,6.8369,164.34,strong_sell,0.6255,149.0055
1752192000000,2025-07-11,rebalance_buy,buy,0.036330,6.0167,165.28,moderate_sell,,
1752235200000,2025-07-11,rebalance_buy,buy,0.035501,5.7752,162.35,neutral,,
1752249600000,2025-07-11,rebalance_sell,sell,0.034975,5.7478,164.67,moderate_sell,0.3386,154.6582
1752307200000,2025-07-12,rebalance_buy,buy,0.035573,5.7630,161.68,neutral,,
1752451200000,2025-07-14,rebalance_sell,sell,0.036060,6.0147,167.13,moderate_sell,0.3900,155.9798
1752494400000,2025-07-14,rebalance_buy,buy,0.035531,5.8373,163.96,neutral,,
1752667200000,2025-07-16,rebalance_sell,sell,0.035659,5.9962,168.49,moderate_sell,0.3804,157.4842
1753099200000,2025-07-21,rebalance_sell,sell,0.044527,8.7521,196.95,strong_sell,1.7398,157.4842
1753113600000,2025-07-21,rebalance_buy,buy,0.035172,6.8631,194.74,moderate_sell,,
1753214400000,2025-07-22,rebalance_sell,sell,0.037207,7.6418,205.80,strong_sell,1.4425,166.6180
1753228800000,2025-07-23,rebalance_buy,buy,0.035345,7.1360,201.49,moderate_sell,,
1753243200000,2025-07-23,rebalance_buy,buy,0.032221,6.4422,199.54,neutral,,
1753272000000,2025-07-23,emergency_sell,sell,0.173822,33.4476,192.81,trailing_stop,2.1924,179.8115
1753732800000,2025-07-28,rebalance_buy,buy,0.218157,40.0311,183.13,moderate_buy,,
1753747200000,2025-07-29,rebalance_sell,sell,0.033750,6.2095,184.35,neutral,0.0287,183.1300
1753992000000,2025-07-31,rebalance_buy,buy,0.038614,6.6634,172.22,moderate_buy,,
1754553600000,2025-08-07,rebalance_sell,sell,0.034455,5.9446,172.88,neutral,-0.3000,181.2410
1754596800000,2025-08-07,rebalance_sell,sell,0.035087,6.1433,175.44,moderate_sell,-0.2159,181.2410
1754611200000,2025-08-08,rebalance_buy,buy,0.034327,6.0110,174.76,neutral,,
1754625600000,2025-08-08,rebalance_sell,sell,0.034844,6.1617,177.19,moderate_sell,-0.1122,180.0564
1754654400000,2025-08-08,rebalance_buy,buy,0.034817,6.1146,175.27,neutral,,
1754668800000,2025-08-08,rebalance_sell,sell,0.035068,6.2471,178.50,moderate_sell,-0.0360,179.1690
1754683200000,2025-08-08,rebalance_buy,buy,0.034630,6.1360,176.83,neutral,,
1754712000000,2025-08-09,rebalance_sell,sell,0.035139,6.3345,180.63,moderate_sell,0.0538,178.7366
1754769600000,2025-08-09,rebalance_buy,buy,0.034012,6.1341,179.99,neutral,,
1754784000000,2025-08-10,rebalance_sell,sell,0.035236,6.5049,184.98,moderate_sell,0.1989,178.9655
1754798400000,2025-08-10,rebalance_buy,buy,0.036295,6.5076,178.94,neutral,,
1754870400000,2025-08-11,rebalance_sell,sell,0.035780,6.6118,185.16,moderate_sell,0.2086,178.9606
1754884800000,2025-08-11,rebalance_buy,buy,0.034563,6.3370,182.98,neutral,,
1754942400000,2025-08-11,rebalance_buy,buy,0.037245,6.5265,174.88,moderate_buy,,
1754956800000,2025-08-12,rebalance_sell,sell,0.034499,6.0441,175.55,neutral,-0.1278,178.9021
1755014400000,2025-08-12,rebalance_sell,sell,0.038527,7.3312,190.67,moderate_sell,0.4387,178.9021
1755172800000,2025-08-14,emergency_sell,sell,0.150275,29.2405,194.97,trailing_stop,2.3560,178.9021
1755259200000,2025-08-15,rebalance_buy,buy,0.224914,41.8345,185.63,moderate_buy,,
1755302400000,2025-08-16,rebalance_sell,sell,0.034883,6.5192,187.26,neutral,0.0438,185.6300
1755792000000,2025-08-21,rebalance_buy,buy,0.037451,6.7588,180.11,moderate_buy,,
1755806400000,2025-08-21,rebalance_sell,sell,0.035023,6.3013,180.28,neutral,-0.1682,184.7212
1755864000000,2025-08-22,rebalance_sell,sell,0.038685,7.4707,193.50,moderate_sell,0.3246,184.7212
1756123200000,2025-08-25,emergency_sell,sell,0.153773,30.1667,196.57,trailing_stop,1.7616,184.7212
1758513600000,2025-09-22,rebalance_buy,buy,0.194544,43.2889,222.07,moderate_buy,,
1759305600000,2025-10-01,rebalance_sell,sell,0.059231,12.8800,217.89,moderate_sell,-0.2734,222.0700
1759420800000,2025-10-02,rebalance_sell,sell,0.035587,8.2567,232.48,strong_sell,0.3539,222.0700
1759449600000,2025-10-03,rebalance_buy,buy,0.031539,7.3450,232.42,moderate_sell,,
1759536000000,2025-10-04,rebalance_buy,buy,0.030120,6.9232,229.39,neutral,,
1759636800000,2025-10-05,rebalance_sell,sell,0.030711,7.2545,236.69,moderate_sell,0.3304,225.4588
1759651200000,2025-10-05,rebalance_buy,buy,0.030181,7.0386,232.75,neutral,,
1759838400000,2025-10-07,rebalance_buy,buy,0.031757,7.1252,223.92,moderate_buy,,
1759939200000,2025-10-08,rebalance_sell,sell,0.030478,6.9776,229.40,neutral,0.0790,226.3476
1760097600000,2025-10-10,rebalance_buy,buy,0.035122,7.4168,210.75,moderate_buy,,
1760126400000,2025-10-10,emergency_sell,sell,0.197256,37.1872,188.90,stop_loss,-6.9135,223.5704
1760544000000,2025-10-15,rebalance_buy,buy,0.195376,38.1551,194.90,moderate_buy,,
1760601600000,2025-10-16,rebalance_sell,sell,0.030353,5.9643,196.89,neutral,0.0485,194.9000
1760616000000,2025-10-16,rebalance_buy,buy,0.033142,6.2326,187.68,moderate_buy,,
1760630400000,2025-10-16,rebalance_sell,sell,0.040168,7.4230,185.17,moderate_buy,-0.3572,193.6925
1760659200000,2025-10-17,rebalance_sell,sell,0.031124,5.8123,187.12,neutral,-0.2162,193.6925
1760688000000,2025-10-17,rebalance_sell,sell,0.049581,8.9790,181.46,neutral,-0.6245,193.6925
1760702400000,2025-10-17,rebalance_buy,buy,0.050735,9.2910,182.76,neutral,,
